Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Common Genre
Good Ones,spotify:track:2grSOc6HNTXQQXNoRKt9UM,https://open.spotify.com/track/2grSOc6HNTXQQXNoRKt9UM,['Charli XCX'],CRASH,64,2.28,129.049,7,0,0.764,0.672,-5.947,0.0293,0.072,3.32e-06,0.0806,0.789,4,metropopolis
Vroom Vroom,spotify:track:5hyq3LBlCfjRQAFkdQwe8o,https://open.spotify.com/track/5hyq3LBlCfjRQAFkdQwe8o,['Charli XCX'],Vroom Vroom EP,64,3.22,151.007,11,1,0.836,0.684,-5.818,0.241,0.122,0.0,0.0854,0.514,4,metropopolis
Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795,['Bastille'],Bad Blood,73,3.57,127.435,9,1,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,4,metropopolis
Good Grief,spotify:track:1oxOiOjsi7plNOZEhoPLPj,https://open.spotify.com/track/1oxOiOjsi7plNOZEhoPLPj,['Bastille'],Wild World (Complete Edition),64,3.44,120.041,1,1,0.73,0.758,-4.888,0.0653,0.147,0.0,0.311,0.877,4,metropopolis
Things We Lost In The Fire,spotify:track:6qOxF7JKKNegcuocn14ukr,https://open.spotify.com/track/6qOxF7JKKNegcuocn14ukr,['Bastille'],All This Bad Blood,63,4.01,134.055,4,0,0.587,0.918,-4.878,0.0581,0.0636,0.0,0.267,0.629,4,metropopolis
Of The Night,spotify:track:7BNDyzwDboNRR2wmd7GSew,https://open.spotify.com/track/7BNDyzwDboNRR2wmd7GSew,['Bastille'],All This Bad Blood,63,3.57,125.01,5,0,0.67,0.829,-7.2,0.0427,0.0192,0.000225,0.089,0.349,4,metropopolis
Icarus,spotify:track:3aO4GaEhtu1UanIGKefdD3,https://open.spotify.com/track/3aO4GaEhtu1UanIGKefdD3,['Bastille'],All This Bad Blood,61,3.75,134.945,4,0,0.583,0.778,-6.578,0.0459,0.0712,1.23e-06,0.0753,0.673,4,metropopolis
Habits (Stay High),spotify:track:14OxJlLdcHNpgsm4DRwDOB,https://open.spotify.com/track/14OxJlLdcHNpgsm4DRwDOB,['Tove Lo'],Queen Of The Clouds,77,3.49,110.02,5,1,0.729,0.65,-3.539,0.0313,0.0702,6.69e-05,0.0829,0.347,4,metropopolis
Don't Say Goodbye (feat. Tove Lo),spotify:track:0GTPmh5G40joBg93vcSQNq,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq,"['Alok', 'Ilkay Sencan', 'Tove Lo']",Don't Say Goodbye (feat. Tove Lo),71,3.11,120.062,0,0,0.698,0.719,-4.923,0.0455,0.00829,4.01e-06,0.326,0.364,4,metropopolis
Talking Body,spotify:track:2tpfxAXiI52znho4WE3XFA,https://open.spotify.com/track/2tpfxAXiI52znho4WE3XFA,['Tove Lo'],Queen Of The Clouds,69,3.97,119.999,4,0,0.736,0.761,-5.449,0.0338,0.0966,0.0,0.0823,0.114,4,metropopolis
Pressure (feat. Tove Lo),spotify:track:4ga4WvRNhMsIL38pkBbnIN,https://open.spotify.com/track/4ga4WvRNhMsIL38pkBbnIN,"['Martin Garrix', 'Tove Lo']",Pressure (feat. Tove Lo),66,2.41,114.978,7,0,0.859,0.558,-8.991,0.0902,0.659,0.324,0.124,0.357,4,metropopolis
Habits (Stay High) - Hippie Sabotage Remix,spotify:track:62N2JSA0jHmSH7Va9t7hIf,https://open.spotify.com/track/62N2JSA0jHmSH7Va9t7hIf,"['Tove Lo', 'Hippie Sabotage']",Queen Of The Clouds,65,4.32,121.011,4,0,0.735,0.686,-7.562,0.0366,0.00108,0.874,0.0933,0.0656,4,metropopolis
Miracle (with Ellie Goulding),spotify:track:5eTaQYBE1yrActixMAeLcZ,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ,"['Calvin Harris', 'Ellie Goulding']",Miracle (with Ellie Goulding),85,3.11,143.011,9,1,0.636,0.869,-5.289,0.0412,0.0378,0.0446,0.0808,0.306,4,indietronica
Outside (feat. Ellie Goulding),spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb,"['Calvin Harris', 'Ellie Goulding']",Motion,84,3.79,128.035,2,0,0.646,0.823,-4.123,0.0394,0.213,0.0,0.322,0.418,4,indietronica
"Love Me Like You Do - From ""Fifty Shades Of Grey""",spotify:track:3zHq9ouUJQFQRf3cm1rRLu,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,['Ellie Goulding'],Delirium (Deluxe),80,4.21,189.857,8,1,0.262,0.606,-6.646,0.0484,0.247,0.0,0.125,0.275,4,indietronica
Burn,spotify:track:5lF0pHbsJ0QqyIrLweHJPW,https://open.spotify.com/track/5lF0pHbsJ0QqyIrLweHJPW,['Ellie Goulding'],Halcyon Nights,77,3.85,86.921,1,1,0.555,0.772,-5.007,0.0523,0.315,0.0,0.105,0.346,4,indietronica
All By Myself,spotify:track:5Hp4xFihdOE2dmDzxWcBFb,https://open.spotify.com/track/5Hp4xFihdOE2dmDzxWcBFb,"['Alok', 'Sigala', 'Ellie Goulding']",All By Myself,76,2.86,123.041,0,0,0.662,0.848,-4.338,0.0346,0.0932,7.62e-06,0.241,0.773,4,indietronica
The Spins,spotify:track:7FAFkQQZFeNwOFzTrSDFIh,https://open.spotify.com/track/7FAFkQQZFeNwOFzTrSDFIh,"['Mac Miller', 'Empire of the Sun']",K.I.D.S. (Deluxe),83,3.26,127.006,9,0,0.794,0.766,-3.894,0.0377,0.0135,0.0,0.0785,0.55,4,indietronica
The Thrill,spotify:track:56oGoEjA9eTZYgsttEFKY3,https://open.spotify.com/track/56oGoEjA9eTZYgsttEFKY3,"['Wiz Khalifa', 'Empire of the Sun']",The Thrill,77,3.91,126.984,10,0,0.817,0.775,-4.767,0.108,0.277,0.0,0.108,0.806,4,indietronica
Walking On A Dream,spotify:track:3HfhB8sYqLlVmpBPb7cc2x,https://open.spotify.com/track/3HfhB8sYqLlVmpBPb7cc2x,['Empire of the Sun'],Walking On A Dream,65,3.31,126.967,5,0,0.87,0.699,-5.541,0.0459,0.245,6.76e-06,0.0588,0.726,4,indietronica
We Are The People - southstar Remix,spotify:track:3vLMN02wGnPBdjRVvewedS,https://open.spotify.com/track/3vLMN02wGnPBdjRVvewedS,"['Empire of the Sun', 'southstar']",We Are The People (southstar Remix),65,3.93,150.014,7,1,0.717,0.832,-6.404,0.0396,0.0018,0.0334,0.13,0.128,4,indietronica
Alive,spotify:track:5WBnKCEsPwsvWHUZmLjS3s,https://open.spotify.com/track/5WBnKCEsPwsvWHUZmLjS3s,['Empire of the Sun'],Ice On The Dune,64,3.41,119.954,5,1,0.524,0.885,-3.079,0.037,0.0997,0.0,0.0708,0.395,4,indietronica
Gooey,spotify:track:1gk3FhAV07q9Jg77UxnVjX,https://open.spotify.com/track/1gk3FhAV07q9Jg77UxnVjX,['Glass Animals'],ZABA,71,4.82,183.114,11,0,0.487,0.369,-13.424,0.0406,0.736,3.75e-05,0.0925,0.106,4,indietronica
Youth,spotify:track:1LPGwuFgIzbJoShfDdw7MY,https://open.spotify.com/track/1LPGwuFgIzbJoShfDdw7MY,['Glass Animals'],How To Be A Human Being,71,3.84,96.017,9,0,0.648,0.718,-7.765,0.0298,0.129,0.00156,0.112,0.785,4,indietronica
Heat Waves - Slowed,spotify:track:1K2RnVhm3eauKnA8PAcPu1,https://open.spotify.com/track/1K2RnVhm3eauKnA8PAcPu1,['Glass Animals'],Heat Waves (Expansion Pack),71,4.37,147.099,9,1,0.633,0.55,-9.965,0.0924,0.649,0.000363,0.147,0.333,4,indietronica
The Other Side Of Paradise,spotify:track:0rRjGruFonCGOt0S5zAJNQ,https://open.spotify.com/track/0rRjGruFonCGOt0S5zAJNQ,['Glass Animals'],How To Be A Human Being,71,5.34,128.012,11,0,0.689,0.338,-7.634,0.0629,0.349,5.7e-05,0.0649,0.568,4,indietronica
Take A Slice,spotify:track:37adYGaYaAWTGhBaOzX4Fh,https://open.spotify.com/track/37adYGaYaAWTGhBaOzX4Fh,['Glass Animals'],How To Be A Human Being,68,3.83,151.97,9,1,0.623,0.661,-7.0,0.1,0.0212,0.000229,0.267,0.63,4,indietronica
Back On 74,spotify:track:19kHhX6f6EfLU7rcO3RqjO,https://open.spotify.com/track/19kHhX6f6EfLU7rcO3RqjO,['Jungle'],Volcano,83,3.49,146.003,10,0,0.62,0.761,-7.282,0.175,0.207,0.000147,0.269,0.194,4,indietronica
I've Been In Love,spotify:track:7j3zZ2jAjzFD60UjhldhHo,https://open.spotify.com/track/7j3zZ2jAjzFD60UjhldhHo,"['Jungle', 'Channel Tres']",Volcano,75,2.82,114.967,9,0,0.679,0.506,-9.497,0.0671,0.421,0.00216,0.434,0.588,4,indietronica
Candle Flame,spotify:track:1Ad2HcIX9zBqoWRvxtpYGf,https://open.spotify.com/track/1Ad2HcIX9zBqoWRvxtpYGf,"['Jungle', 'Erick the Architect']",Volcano,73,2.9,123.032,9,0,0.673,0.72,-7.318,0.039,0.143,1.82e-05,0.913,0.588,4,indietronica
