,Name,ID,Genres,Followers,Popularity
30,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']",46873877,81
31,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],95301877,87
32,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop']",16556557,80
33,Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,['gauze pop'],82830,57
34,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,"['boy band', 'dance pop', 'pop']",5465448,73
35,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,['pop'],9882217,74
36,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house', 'rock']",9734031,78
37,Halsey,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']",21222927,79
38,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",52578040,86
39,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,"['classic texas country', 'contemporary country']",777453,68
40,Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],41842854,83
41,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,['singer-songwriter pop'],198768,65
42,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15757948,73
43,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,"['metropopolis', 'modern rock', 'pop']",5507348,72
44,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop']",32182508,77
45,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,"['pop', 'uk pop']",22912575,73
46,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",48485132,86
47,Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,['indie rock'],524756,58
48,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",75238271,92
49,Sheppard,6VxCmtR7S3yz4vnzsJqhSV,"['australian indie', 'australian pop', 'folk-pop']",293836,58
50,The Cure,7bu3H8JO7d0UbMoVzbo70s,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",4971481,73
51,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,['pop'],11467826,76
52,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']",28632759,82
53,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",10460210,74
54,Lizzo,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",5681117,70
